word_id,languoid,speaker_id,sentence,word,part_of_speech,stress,ka_mi_chu,accusative,reciprocal,nominal_plural,notes
1,qud,ET,šinaga kažarišun kunun pun?a ,šinaga,speech_particle,penultimate,ka,NA,NA,NA,
2,qud,ET,šinaga kažarišun kunun pun?a ,kažarišun,verb,penultimate,NA,NA,NA,NA,
3,qud,ET,šinaga kažarišun kunun pun?a ,kunun,adj,penultimate,NA,NA,NA,NA,
4,qud,ET,šinaga kažarišun kunun pun?a ,pun?a,noun,penultimate,NA,NA,NA,NA,
5,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",maši,noun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
6,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",imata,pronoun,penultimate,NA,ta,NA,NA,
7,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",?imana,verb,penultimate,NA,NA,NA,NA,
8,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i","kan?i,",verb,penultimate,NA,NA,NA,NA,
9,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",imata,pronoun,antepenultimate,NA,ta,NA,NA,
10,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",parlana,verb,penultimate,NA,NA,NA,NA,
11,qud,ET,"maši Simeón, imata ?imana kan?i, imata parlana kan?i",kan?i,verb,penultimate,NA,NA,NA,NA,
12,qud,ET,nipay kikin,nipay,verb,penultimate,NA,NA,NA,NA,
13,qud,ET,nipay kikin,kikin,pronoun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
14,qud,ET,ñuka ?imaytaka yuyarínimi,ñuka,pronoun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
15,qud,ET,ñuka ?imaytaka yuyarínimi,?imaytaka,verb,penultimate,ka,ta,NA,NA,
16,qud,ET,ñuka ?imaytaka yuyarínimi,yuyarínimi,verb,antepenultimate,mi,NA,NA,NA,
17,qud,ET,imata ningi kan,imata,pronoun,penultimate,NA,ta,NA,NA,
18,qud,ET,imata ningi kan,ningi,verb,penultimate,NA,NA,NA,NA,
19,qud,ET,aška ážimi yuyarínaka kan,aška,adv,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
20,qud,ET,aška ážimi yuyarínaka kan,ážimi,adj,antepenultimate,mi,NA,NA,NA,
21,qud,ET,aška ážimi yuyarínaka kan,yuyarínaka,verb,antepenultimate,ka,NA,NA,NA,
22,qud,ET,Llano Grándeka na šina kununláya?u karka,šina,adj,penultimate,NA,NA,NA,NA,
23,qud,ET,Llano Grándeka na šina kununláya?u karka,kununláya?u,adj,antepenultimate,?u,NA,NA,NA,
24,qud,ET,Llano Grándeka na šina kununláya?u karka,karka,verb,penultimate,NA,NA,NA,NA,
25,qud,ET,"kúnunka pavimento tiyán, autokuna ašta purinakún",kúnunka,adj,antepenultimate,ka,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has antepenultimate stress"
26,qud,ET,"kúnunka pavimento tiyán, autokuna ašta purinakún","tiyán,",verb,ultimate,NA,NA,NA,NA,
27,qud,ET,"kúnunka pavimento tiyán, autokuna ašta purinakún",ašta,adv,penultimate,NA,NA,NA,NA,
28,qud,ET,"kúnunka pavimento tiyán, autokuna ašta purinakún",purinakún,verb,ultimate,NA,NA,NA,NA,
29,qud,ET,kúnunka alambreskuna tuki šitaška gan,kúnunka,adj,antepenultimate,ka,NA,NA,NA,
30,qud,ET,kúnunka alambreskuna tuki šitaška gan,tuki,adj,penultimate,NA,NA,NA,NA,
31,qud,ET,kúnunka alambreskuna tuki šitaška gan,šitaška,verb,penultimate,NA,NA,NA,NA,
32,qud,ET,luz eléctrica niška ña tiyán,niška,verb,NA,NA,NA,NA,NA,hard to tell the stress
33,qud,ET,luz eléctrica niška ña tiyán,tiyán,verb,ultimate,NA,NA,NA,NA,
34,qud,ET,ñuka yuyarini,ñuka,pronoun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
35,qud,ET,ñuka yuyarini,yuyarini,verb,penultimate,NA,NA,NA,NA,"while the first vowel has a higher F0 than the third, editor finds the word still has penultimate stress"
36,qud,ET,suxta ?unga,suxta,numeral,NA,NA,NA,NA,NA,hard to tell the stress
37,qud,ET,suxta ?unga,?unga,numeral,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
38,qud,ET,"a ver, suxta ?unga pi?ka wata wa... yaži",suxta,numeral,penultimate,NA,NA,NA,NA,
39,qud,ET,"a ver, suxta ?unga pi?ka wata wa... yaži",?unga,numeral,penultimate,NA,NA,NA,NA,
40,qud,ET,"a ver, suxta ?unga pi?ka wata wa... yaži",pi?ka,numeral,penultimate,NA,NA,NA,NA,
41,qud,ET,"a ver, suxta ?unga pi?ka wata wa... yaži",wata,noun,penultimate,NA,NA,NA,NA,
42,qud,ET,"a ver, suxta ?unga pi?ka wata wa... yaži",yaži,adj,penultimate,NA,NA,NA,NA,
43,qud,ET,?aypimi ñuka wiñarkani,?aypimi,pronoun,penultimate,mi,NA,NA,NA,
44,qud,ET,?aypimi ñuka wiñarkani,ñuka,pronoun,penultimate,NA,NA,NA,NA,
45,qud,ET,?aypimi ñuka wiñarkani,wiñarkani,verb,penultimate,NA,NA,NA,NA,
46,qud,ET,Llano Grándeka karkami,karkami,verb,penultimate,mi,NA,NA,NA,
47,qud,ET,šux ñánžami ?ayax karka,ñánžami,noun,antepenultimate,mi,NA,NA,NA,
48,qud,ET,šux ñánžami ?ayax karka,?ayax,noun,penultimate,NA,NA,NA,NA,
49,qud,ET,šux ñánžami ?ayax karka,karka,verb,penultimate,NA,NA,NA,NA,
50,qud,ET,kay kunun kay šuti tiyán García Moreno niška šuti kan,kunun,adj,penultimate,NA,NA,NA,NA,
51,qud,ET,kay kunun kay šuti tiyán García Moreno niška šuti kan,šuti,noun,penultimate,NA,NA,NA,NA,
52,qud,ET,kay kunun kay šuti tiyán García Moreno niška šuti kan,tiyán,verb,ultimate,NA,NA,NA,NA,
53,qud,ET,kay kunun kay šuti tiyán García Moreno niška šuti kan,niška,verb,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
54,qud,ET,?ay šútika mana ñukan?i munaška šúti?u kan,šútika,noun,antepenultimate,ka,NA,NA,NA,
