token_id,sentence,word,vowel,pitch,notes
1,šinaga kažarišun kunun punča ,šinaga,i,166.22,
2,šinaga kažarišun kunun punča ,šinaga,a,191.11,
3,šinaga kažarišun kunun punča ,šinaga,a,158.35,
4,šinaga kažarišun kunun punča ,kažarišun,a,158.71,
5,šinaga kažarišun kunun punča ,kažarišun,a,169.63,
6,šinaga kažarišun kunun punča ,kažarišun,i,250.03,
7,šinaga kažarišun kunun punča ,kažarišun,u,221.87,
8,šinaga kažarišun kunun punča ,kunun,u,157.47,
9,šinaga kažarišun kunun punča ,kunun,u,141.21,
10,šinaga kažarišun kunun punča ,punča,u,136.89,
11,šinaga kažarišun kunun punča ,punča,a,104.25,
12,"maši Simeón, imata řimana kanči, imata parlana kanči",maši,a,147.01,
13,"maši Simeón, imata řimana kanči, imata parlana kanči",maši,i,149.34,
14,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,i,138.72,
15,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,a,143.04,
16,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,a,127.71,
17,"maši Simeón, imata řimana kanči, imata parlana kanči",řimana,i,130.13,
18,"maši Simeón, imata řimana kanči, imata parlana kanči",řimana,a,137.41,
19,"maši Simeón, imata řimana kanči, imata parlana kanči",řimana,a,131.24,
20,"maši Simeón, imata řimana kanči, imata parlana kanči",kanči,a,169.27,
21,"maši Simeón, imata řimana kanči, imata parlana kanči",kanči,i,165.04,
22,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,i,136.07,
23,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,a,123.63,
24,"maši Simeón, imata řimana kanči, imata parlana kanči",imata,a,124.67,
25,"maši Simeón, imata řimana kanči, imata parlana kanči",parlana,a,122.53,
26,"maši Simeón, imata řimana kanči, imata parlana kanči",parlana,a,125.48,
27,"maši Simeón, imata řimana kanči, imata parlana kanči",parlana,a,113.67,
28,"maši Simeón, imata řimana kanči, imata parlana kanči",kanči,a,157.92,
29,"maši Simeón, imata řimana kanči, imata parlana kanči",kanči,i,115.44,
30,nipay kikin,nipay,i,157.65,
31,nipay kikin,nipay,a,151.24,
32,nipay kikin,kikin,i,166.71,
33,nipay kikin,kikin,i,172.63,
34,ñuka řimaytaka yuyarínimi,ñuka,u,149.17,
35,ñuka řimaytaka yuyarínimi,ñuka,a,152.96,
36,ñuka řimaytaka yuyarínimi,řimaytaka,i,139.79,
37,ñuka řimaytaka yuyarínimi,řimaytaka,a,150.11,
38,ñuka řimaytaka yuyarínimi,řimaytaka,a,155.93,
39,ñuka řimaytaka yuyarínimi,řimaytaka,a,119.34,
40,ñuka řimaytaka yuyarínimi,yuyarínimi,u,126.75,
41,ñuka řimaytaka yuyarínimi,yuyarínimi,a,163.83,
42,ñuka řimaytaka yuyarínimi,yuyarínimi,í,199.74,
43,ñuka řimaytaka yuyarínimi,yuyarínimi,i,229.79,
44,ñuka řimaytaka yuyarínimi,yuyarínimi,i,87.66,
45,imata ningi kan,imata,i,136.19,
46,imata ningi kan,imata,a,207.15,
47,imata ningi kan,imata,a,190.84,
48,imata ningi kan,ningi,i,151.43,
49,imata ningi kan,ningi,i,128.1,
50,aška ážimi yuyarínaka kan,aška,a,186.17,
51,aška ážimi yuyarínaka kan,aška,a,199,
52,aška ážimi yuyarínaka kan,ážimi,á,226.38,
53,aška ážimi yuyarínaka kan,ážimi,i,210.72,
54,aška ážimi yuyarínaka kan,ážimi,i,190.92,
55,aška ážimi yuyarínaka kan,yuyarínaka,u,168.92,
56,aška ážimi yuyarínaka kan,yuyarínaka,a,161.48,
57,aška ážimi yuyarínaka kan,yuyarínaka,í,182.56,
58,aška ážimi yuyarínaka kan,yuyarínaka,a,167.48,
59,aška ážimi yuyarínaka kan,yuyarínaka,a,127.32,
60,Llano Grándeka na šina kununláyaču karka,šina,i,279.48,
61,Llano Grándeka na šina kununláyaču karka,šina,a,220.66,
62,Llano Grándeka na šina kununláyaču karka,kununláyaču,u,165,
63,Llano Grándeka na šina kununláyaču karka,kununláyaču,u,158.41,
64,Llano Grándeka na šina kununláyaču karka,kununláyaču,á,166.73,
65,Llano Grándeka na šina kununláyaču karka,kununláyaču,a,153.88,
66,Llano Grándeka na šina kununláyaču karka,kununláyaču,u,133.4,
67,Llano Grándeka na šina kununláyaču karka,karka,a,208.13,
68,Llano Grándeka na šina kununláyaču karka,karka,a,104.91,
69,"kúnunka pavimento tiyán, autokuna ašta purinakún",kúnunka,ú,152.46,
70,"kúnunka pavimento tiyán, autokuna ašta purinakún",kúnunka,u,163.74,
71,"kúnunka pavimento tiyán, autokuna ašta purinakún",kúnunka,a,126.35,
72,"kúnunka pavimento tiyán, autokuna ašta purinakún",tiyán,i,131.82,
73,"kúnunka pavimento tiyán, autokuna ašta purinakún",tiyán,á,171.39,
74,"kúnunka pavimento tiyán, autokuna ašta purinakún",ašta,a,132.09,
75,"kúnunka pavimento tiyán, autokuna ašta purinakún",ašta,a,131.28,
76,"kúnunka pavimento tiyán, autokuna ašta purinakún",purinakún,u,125.61,
77,"kúnunka pavimento tiyán, autokuna ašta purinakún",purinakún,i,121.71,
78,"kúnunka pavimento tiyán, autokuna ašta purinakún",purinakún,a,114.07,
79,"kúnunka pavimento tiyán, autokuna ašta purinakún",purinakún,ú,193.84,
80,kúnunka alambreskuna tuki šitaška gan,kúnunka,ú,145.62,
81,kúnunka alambreskuna tuki šitaška gan,kúnunka,u,142.6,
82,kúnunka alambreskuna tuki šitaška gan,kúnunka,a,129.89,
83,kúnunka alambreskuna tuki šitaška gan,tuki,u,162.51,
84,kúnunka alambreskuna tuki šitaška gan,tuki,i,130.18,
85,kúnunka alambreskuna tuki šitaška gan,šitaška,i,137.88,
